loss_fn	wavetable	mod_type	reference	ref_amount	mod_sig	amount	phase	ref_phase	is_reference	ref_shift	distance
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_8_23	0.5	8	0	False	0	0.5865612626075745
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_9_23	0.5	9	0	False	0	0.5950683951377869
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_10_23	0.5	10	0	False	0	0.6035270094871521
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_11_23	0.5	11	0	False	0	0.6116184592247009
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_12_23	0.5	12	0	False	0	0.6071763038635254
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_13_23	0.5	13	0	False	0	0.5972715020179749
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_14_23	0.5	14	0	False	0	0.596366822719574
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_15_23	0.5	15	0	False	0	0.5874946117401123
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_16_23	0.5	16	0	False	0	0.5758758783340454
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_17_23	0.5	17	0	False	0	0.5684344172477722
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_18_23	0.5	18	0	False	0	0.5623712539672852
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_19_23	0.5	19	0	False	0	0.5525634288787842
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_20_23	0.5	20	0	False	0	0.5400900840759277
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_21_23	0.5	21	0	False	0	0.5334656834602356
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_22_23	0.5	22	0	False	0	0.527793824672699
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_0_23	0.7	0	0	False	0	0.6117780804634094
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_1_23	0.7	1	0	False	0	0.6123372316360474
