loss_fn	Source	SS	DF	MS	F	p_unc	p_bonf	p_fdr	np2	eta_sq	pct_var
jtfs_log1p	feature	0.38464211707709234	2	0.19232105853854617	221.7324047554244	2.2589283953352116e-22	2.2589283953352117e-21	1.1294641976676056e-21	0.9172638851616305	0.23703323347433608	23.703323347433606
jtfs_log1p	source	0.11888322417076799	1	0.11888322417076799	137.06384199824532	1.6960243044812946e-14	1.6960243044812947e-13	4.240060761203236e-14	0.7740927817414218	0.07326102311724647	7.326102311724647
jtfs_log1p	rating_stimulus	0.3459694402104686	3	0.11532314673682287	132.95932772121955	7.683963644859628e-21	7.683963644859628e-20	2.5613212149532092e-20	0.908858494765084	0.21320144481202813	21.320144481202814
jtfs_log1p	modulation:feature	0.06306306839570393	4	0.015765767098925982	18.176800181027303	1.3971487689422661e-08	1.397148768942266e-07	2.3285812815704435e-08	0.6450980971667093	0.03886221074342448	3.886221074342448
jtfs_log1p	modulation:source	0.013987151545735294	2	0.006993575772867647	8.063091924207653	0.001142587678042624	0.01142587678042624	0.0014282345975532799	0.28732015509853015	0.008619492278108218	0.8619492278108218
jtfs_log1p	modulation:rating_stimulus	0.02039278351556363	6	0.0033987972525939387	3.918569780244516	0.003585124794623801	0.03585124794623801	0.003983471994026446	0.37019199333879516	0.012566921825847201	1.2566921825847202
jtfs_log1p	feature:source	0.06659386049799618	2	0.03329693024899809	38.38897555570718	4.942911130782321e-10	4.942911130782321e-09	9.885822261564643e-10	0.6574695854884696	0.04103803869251057	4.103803869251057
jtfs_log1p	feature:rating_stimulus	0.05845045470519959	6	0.009741742450866599	11.231531255875032	2.5431290956442e-07	2.5431290956442e-06	3.633041565206e-07	0.6275230224004618	0.0360197171908812	3.60197171908812
jtfs_log1p	source:rating_stimulus	0.009749687651808723	3	0.003249895883936241	3.7468971678185192	0.018344888188090488	0.18344888188090488	0.018344888188090488	0.21937040999334506	0.006008182377515991	0.600818237751599
jtfs_log1p	Residual (pooled)	0.03469426288876097	40	0.0008673565722190242						0.021380116608196158	2.1380116608196156
scat1d_log1p	modulation	5.254931834796291	2	2.6274659173981454	642.8426095724078	3.9119342300956433e-31	3.911934230095643e-30	3.911934230095643e-30	0.9698269246557614	0.4644248364405657	46.44248364405657
scat1d_log1p	feature	0.797806951653082	2	0.398903475826541	97.59675650589222	4.0991427723907174e-16	4.099142772390717e-15	1.0247856930976793e-15	0.8299272820590261	0.07050926152441563	7.050926152441563
