wavetable_name,loud_range,loud_entropy,loud_spectral_entropy,loud_max,loud_min,loud_total_variation,loud_turning_points,cent_range,cent_entropy,cent_spectral_entropy,cent_max,cent_min,cent_total_variation,cent_turning_points,flat_range,flat_entropy,flat_spectral_entropy,flat_max,flat_min,flat_total_variation,flat_turning_points
harmonics__sines_3__19_1024.pt,2.487879753112793,3.8268754255815365,0.80318797,-9.697404861450195,-12.185284614562988,13.50583267211914,10,1.2838659286499023,3.9321353400486094,0.5915585,9.06459903717041,7.780733108520508,6.832284927368164,9,1.115447998046875,3.6819320630273458,0.043537255,-158.50424194335938,-159.61968994140625,4.49017333984375,13
basics__harmonic_series__7_1024.pt,2.4594011306762695,2.807354922111487,0.47233668,-9.421534538269043,-11.880935668945312,4.264016151428223,1,3.3291568756103516,2.807354922166227,0.80123997,9.22140121459961,5.892244338989258,3.3291568756103516,0,1.05267333984375,2.8073549220933183,0.026518285,-158.8263397216797,-159.87901306152344,1.2917633056640625,1
instrument__digi_piano__32_1024.pt,10.983479499816895,4.562500206294912,1.9061693,-10.254876136779785,-21.23835563659668,11.034090995788574,2,0.9624338150024414,4.6875003096500425,0.5286168,9.718633651733398,8.756199836730957,0.9751691818237305,1,4.553131103515625,4.288905891564381,0.18122728,-154.240478515625,-158.79360961914062,6.4464569091796875,12
formant__stepped_vowels__66_1024.pt,4.746088981628418,2.5849625008810886,1.8805454,-8.94481372833252,-13.690902709960938,10.190165519714355,0,1.5033655166625977,2.2516291674429896,0.88993603,9.643645286560059,8.140279769897461,1.7822465896606445,0,7.54901123046875,2.5849625003008105,0.3745326,-145.02005004882812,-152.56906127929688,8.568206787109375,0
harmonics__spectral_2__24_1024.pt,3.7853822708129883,3.8035076157794725,1.4938293,-6.935029983520508,-10.720412254333496,28.22812271118164,15,5.026495933532715,3.851227244531586,1.6550728,10.941588401794434,5.915092468261719,31.506832122802734,13,1.11920166015625,4.053489529284624,0.04608784,-158.7447509765625,-159.86395263671875,7.0801239013671875,14
instrument__marimba__255_1024.pt,17.20598793029785,4.890096659386534,3.6457229,-9.125726699829102,-26.331714630126953,19.602689743041992,46,2.5495004653930664,3.706466844726459,2.3169372,8.261651039123535,5.712150573730469,8.152830123901367,167,5.2118072509765625,4.337337912619821,0.25059664,-154.2575225830078,-159.46932983398438,37.5057373046875,164
retro__harmonics_4__184_1024.pt,7.431449890136719,4.476753789100932,3.078747,-5.050847053527832,-12.48229694366455,19.878755569458008,77,0.6220998764038086,4.780105761976461,0.4033146,12.704687118530273,12.082587242126465,3.9391918182373047,99,20.360885620117188,4.554544577403046,1.6180983,-74.78236389160156,-95.14324951171875,257.6284484863281,111
formant__gremlin__32_1024.pt,1.770155906677246,4.04595859337673,0.85304046,-5.630176544189453,-7.400332450866699,5.1546406745910645,11,0.8088531494140625,3.352221034975287,0.3033994,12.462940216064453,11.65408706665039,2.007575035095215,10,43.25399398803711,3.9025182002378074,1.2280725,-57.41193771362305,-100.66593170166016,93.60514068603516,10
vintage__mg_memo__7_1024.pt,0.9373512268066406,2.8073549220661205,0.44406605,-4.871277809143066,-5.808629035949707,1.973742961883545,2,3.2248125076293945,2.1280852790071862,0.6679344,12.869133949279785,9.64432144165039,3.2248125076293945,0,91.53099822998047,1.664496040348175,1.1978234,-42.45226287841797,-133.98326110839844,92.11504364013672,1
retro__harmonics_2__185_1024.pt,1.851633071899414,4.674320872282005,0.94340974,-9.617338180541992,-11.468971252441406,27.080856323242188,57,1.1490497589111328,4.509098738454393,0.61626136,12.680599212646484,11.531549453735352,8.18696117401123,94,45.31816864013672,4.728163258418229,2.8161068,-92.69867706298828,-138.016845703125,2776.248779296875,125
collection__violet__40_1024.pt,4.084924697875977,4.071928795332299,1.137532,-9.193429946899414,-13.27835464477539,12.163065910339355,8,6.274562835693359,3.8275678225312735,1.6227837,13.37076187133789,7.096199035644531,8.124496459960938,5,82.74248504638672,4.1725746528162,2.0663831,-76.25542449951172,-158.99790954589844,131.28802490234375,7
vintage__bs_sync__228_1024.pt,4.236374855041504,4.400748237751147,3.0205662,-4.654043197631836,-8.89041805267334,78.55133056640625,167,5.087568283081055,4.778665605693687,2.5097823,12.788667678833008,7.701099395751953,17.420883178710938,109,84.34525299072266,4.7722357057256435,3.3210974,-65.61417388916016,-149.9594268798828,574.739013671875,158
basics__beating_5__112_1024.pt,3.260639190673828,3.7524427846185024,1.4311054,-10.328170776367188,-13.588809967041016,11.272371292114258,67,0.49190711975097656,2.7058946696500956,0.24919361,12.73392391204834,12.242016792297363,2.7878828048706055,59,9.258522033691406,4.020898542352475,0.72226304,-69.9102554321289,-79.16877746582031,89.58492279052734,69
basics__primes__256_1024.pt,4.902578830718994,4.5534055516539365,3.1250901,-4.728551387786865,-9.63113021850586,32.972412109375,32,0.3082609176635742,4.30017304458649,0.251598,12.913622856140137,12.605361938476562,1.3402862548828125,104,57.925140380859375,4.489058636935389,2.9479687,-89.8392333984375,-147.76437377929688,1778.0421142578125,168
instrument__strings_3__145_1024.pt,6.512945652008057,4.498267526410078,2.1191194,-6.448828220367432,-12.961773872375488,27.15452766418457,21,0.7537002563476562,4.574932228752996,0.60411847,8.990405082702637,8.23670482635498,5.796064376831055,66,2.4840850830078125,4.300673429721309,0.11480644,-156.8505859375,-159.3346710205078,15.8138427734375,87
vintage__miniwaves__6_1024.pt,5.335380554199219,2.58496250089497,0.6642176,-9.861421585083008,-15.196802139282227,11.160447120666504,2,6.338066101074219,2.2516297026029717,1.1211017,12.600464820861816,6.262398719787598,16.266807556152344,3,110.72115325927734,2.5849625040413726,1.6182029,-46.90569305419922,-157.62684631347656,295.02081298828125,3
formant__voice_harmonics__256_1024.pt,6.318879127502441,4.578713414127062,1.9412731,-8.290964126586914,-14.609843254089355,29.730487823486328,9,3.9149980545043945,3.925081303480295,2.4988196,10.91946029663086,7.004462242126465,5.601078987121582,52,58.76322937011719,4.488559745507496,2.415507,-100.4661865234375,-159.2294158935547,128.13839721679688,91
noise__dizzy__173_1024.pt,6.282600402832031,4.510294903158714,3.0974665,-6.612459182739258,-12.895059585571289,111.01895141601562,91,5.033873558044434,3.8750084209489577,2.4100626,11.063143730163574,6.029270172119141,57.393829345703125,104,62.14591979980469,3.230997820750863,2.0899317,-97.5018310546875,-159.6477508544922,572.294189453125,98
noise__applause__256_1024.pt,17.434343338012695,4.129234787133817,4.937656,-8.570901870727539,-26.005245208740234,567.9617309570312,153,1.1857318878173828,4.103040965128017,1.0325326,12.161239624023438,10.975507736206055,34.94218444824219,156,26.30048370361328,4.4726684290556005,2.3262522,-78.40516662597656,-104.70565032958984,910.97900390625,173
noise__formula_1__196_1024.pt,7.135967254638672,4.309057416100704,3.7275858,-4.70128059387207,-11.837247848510742,152.80247497558594,121,1.5074844360351562,4.736715057260158,1.2405212,10.96327018737793,9.455785751342773,22.7681884765625,123,39.572723388671875,4.506818455626629,1.9714634,-102.84443664550781,-142.4171600341797,523.6826171875,115
noise__junk_2__205_1024.pt,14.949617385864258,4.200539429631702,4.687071,-6.945747375488281,-21.89536476135254,490.3756408691406,119,1.969670295715332,4.549222593171496,1.5643015,13.413383483886719,11.443713188171387,65.9991455078125,119,88.3182373046875,4.673166170691831,4.9521375,-11.605406761169434,-99.92364501953125,2725.02685546875,93
basics__saw_pw_bass__252_1024.pt,10.119498252868652,4.449488968738196,3.5780213,-8.183024406433105,-18.302522659301758,10.283896446228027,4,2.8798789978027344,3.9478328846372124,1.331988,12.460463523864746,9.580584526062012,4.679146766662598,67,50.180572509765625,4.726655473816417,2.8103864,-56.792236328125,-106.97280883789062,78.99104309082031,84
formant__sparkle_form__140_1024.pt,7.326442718505859,4.578910059934302,2.368972,-8.265440940856934,-15.591883659362793,28.280052185058594,27,0.6593208312988281,4.276884810568118,0.43327132,12.634354591369629,11.9750337600708,2.2931203842163086,44,23.940773010253906,3.796846173867209,1.4068046,-73.7801284790039,-97.72090148925781,90.08358001708984,72
complex__dubstep_organ__64_1024.pt,4.98903226852417,4.513147666538511,1.9134434,-6.658535480499268,-11.647567749023438,29.46343994140625,30,7.732178688049316,4.341982179989277,2.2976835,13.62088394165039,5.888705253601074,8.389145851135254,5,143.35968017578125,3.487954717858082,2.8167448,-16.48621940612793,-159.8459014892578,189.85391235351562,14
formant__aligned_form__256_1024.pt,4.744712829589844,4.652504494206003,1.8867329,-13.437566757202148,-18.182279586791992,21.759326934814453,91,2.927915573120117,4.7796789879364,1.9985089,11.61978816986084,8.691872596740723,27.325881958007812,120,81.87134552001953,4.795866720973154,3.1233063,-69.94225311279297,-151.8135986328125,379.01092529296875,123
complex__bit_ring__256_1024.pt,4.840160846710205,4.5945123672352395,1.2114595,-7.117441654205322,-11.957602500915527,19.50393295288086,7,0.3057727813720703,4.751574568089319,0.1717131,13.147185325622559,12.841412544250488,0.6620006561279297,7,17.21527862548828,4.592996411207038,1.8816346,-36.247928619384766,-53.46320724487305,36.56918716430664,13
noise__vintage_noise__256_1024.pt,7.342008590698242,4.2997058969243085,4.378462,-6.086150169372559,-13.4281587600708,317.90936279296875,165,0.8237199783325195,4.299656187215546,0.8119532,11.087217330932617,10.263497352600098,26.77489471435547,181,28.441162109375,4.559027872367217,2.565444,-89.37389373779297,-117.81505584716797,1337.719970703125,175
vintage__ob6_shapes__71_1024.pt,4.59867525100708,4.270705062033472,1.1528307,-6.865606784820557,-11.464282035827637,9.35411262512207,7,0.5925483703613281,4.245068871886696,0.31569833,13.032979011535645,12.440430641174316,1.2661066055297852,10,43.23143005371094,4.043522352259637,2.3844807,-33.5877685546875,-76.81919860839844,56.96839141845703,3
noise__pink_noise__256_1024.pt,1.4365134239196777,4.500609211332531,2.4522443,-5.404429912567139,-6.840943336486816,75.32130432128906,161,0.22834205627441406,4.36620800427664,0.28127813,12.787629127502441,12.559287071228027,10.821418762207031,161,7.797153472900391,4.494718183336392,2.1720858,-33.72443389892578,-41.52158737182617,412.15838623046875,167
noise__pouring_rain__256_1024.pt,5.405862808227539,4.51837773842602,3.6026497,-8.521066665649414,-13.926929473876953,295.36614990234375,178,0.3699455261230469,4.230127474652769,0.3978574,13.156978607177734,12.787033081054688,15.046419143676758,167,16.230213165283203,4.5864210598679325,3.7068756,-25.630142211914062,-41.860355377197266,907.5628662109375,162
instrument__afrobeat__4_1024.pt,10.395687103271484,2.000000000371124,1.1287694,-5.8130645751953125,-16.208751678466797,10.395687103271484,0,2.4014577865600586,2.000000000090443,0.634106,9.242511749267578,6.8410539627075195,2.4014577865600586,0,8.66192626953125,1.9999999998823925,0.19123843,-149.4275360107422,-158.08946228027344,18.842697143554688,2
filter__sweep_3__31_1024.pt,7.511794090270996,4.155651549500943,1.520925,-8.126762390136719,-15.638556480407715,24.284927368164062,6,4.444318771362305,4.205187828244794,1.476148,12.605517387390137,8.161198616027832,5.609112739562988,8,101.03738403320312,4.1438930197607835,2.074369,-50.648193359375,-151.68557739257812,102.7408447265625,4
complex__noise_manipulator__70_1024.pt,2.679915428161621,4.613013176754773,1.037448,-8.674922943115234,-11.354838371276855,10.704647064208984,24,2.7043609619140625,3.3645532216143192,1.1083115,12.725120544433594,10.020759582519531,3.6405839920043945,21,101.05113220214844,3.7053300209631086,3.3176622,-36.473724365234375,-137.5248565673828,117.35072326660156,11
retro__robotic__12_1024.pt,2.5237441062927246,2.6174914863653997,0.79358447,-6.673794269561768,-9.197538375854492,7.218228340148926,5,0.7082500457763672,3.188721875562157,0.26874495,12.662493705749512,11.954243659973145,3.0269041061401367,9,53.89279556274414,3.5849625019627807,1.4457306,-58.92904281616211,-112.82183837890625,225.5234375,9
retro__resonant_1__65_1024.pt,3.608334541320801,4.525441630596895,1.2758248,-8.915102005004883,-12.523436546325684,26.092571258544922,13,0.7967052459716797,4.243157419122507,0.43000934,12.527691841125488,11.730986595153809,2.7895851135253906,30,36.32122039794922,4.247378894452444,1.7188988,-78.06900787353516,-114.39022827148438,120.55364227294922,34
noise__hp_noise__256_1024.pt,1.769284725189209,4.460043160807778,2.6799965,-5.0666117668151855,-6.8358964920043945,87.78759765625,173,0.16574954986572266,4.340337619342827,0.20981851,13.475138664245605,13.309389114379883,7.583583831787109,168,6.043913841247559,4.408388989244579,3.4317336,-9.940095901489258,-15.984009742736816,279.9608154296875,162
formant__crispy_form__16_1024.pt,4.23555850982666,3.452820270436643,1.2444614,-6.786797523498535,-11.022356033325195,16.39307403564453,7,0.5063047409057617,3.4999943485659615,0.19157375,11.696385383605957,11.190080642700195,1.5771760940551758,7,24.561019897460938,3.750000155837555,0.7619775,-88.21754455566406,-112.778564453125,55.26292419433594,8
noise__broken_filter__249_1024.pt,21.0771541595459,4.44658719265672,4.7504053,-10.676223754882812,-31.75337791442871,1048.728759765625,139,1.3657007217407227,4.088354641036827,1.154016,13.654840469360352,12.289139747619629,40.604496002197266,157,39.03607940673828,3.739552715820781,5.667009,-8.770540237426758,-47.806617736816406,1267.361572265625,154
formant__harsh_vowel__256_1024.pt,5.0360822677612305,4.88706600217363,2.3908055,-3.9261245727539062,-8.962206840515137,20.300260543823242,7,0.3747682571411133,4.589715139902724,0.23742701,13.17408561706543,12.799317359924316,1.048975944519043,16,6.568729400634766,4.829652512074539,0.58409667,-40.60445785522461,-47.173187255859375,25.265995025634766,17
basics__saw_harmonics__252_1024.pt,7.639436721801758,4.6921853788366885,2.1582935,-9.790510177612305,-17.429946899414062,44.72625732421875,46,0.4754447937011719,4.247903594531085,0.28929922,12.65102481842041,12.175580024719238,2.492793083190918,42,17.259220123291016,4.433202926850248,1.7834636,-53.55068588256836,-70.80990600585938,122.09591674804688,63
retro__harmonics_3__185_1024.pt,3.9088001251220703,4.328434120491908,1.4555755,-9.152289390563965,-13.061089515686035,18.328153610229492,74,0.7620229721069336,4.446607915087453,0.539006,12.886112213134766,12.124089241027832,2.78875732421875,116,60.32908630371094,4.342110143968581,3.0942545,-48.69731140136719,-109.02639770507812,176.21786499023438,117
noise__junk_1__129_1024.pt,12.424976348876953,4.151597901731863,3.8909535,-5.509344577789307,-17.9343204498291,218.81150817871094,85,1.3577375411987305,4.643863649927765,0.8855619,13.27048110961914,11.91274356842041,21.6458683013916,70,65.27217864990234,4.742464847886271,4.010732,-19.577722549438477,-84.84989929199219,1243.5335693359375,68
basics__galactica__4_1024.pt,4.828780174255371,2.0000000001776015,0.74588764,-10.571038246154785,-15.399818420410156,5.331780433654785,2,1.3406553268432617,1.5000000000539453,0.32588947,10.872113227844238,9.531457901000977,1.3600635528564453,1,30.727378845214844,2.000000001058366,0.63710546,-79.74717712402344,-110.47455596923828,30.727378845214844,0
instrument__nylon_bass__64_1024.pt,18.781579971313477,4.493039340744391,2.4590101,-10.301494598388672,-29.08307456970215,26.307823181152344,11,2.698361396789551,3.4247520856939015,1.455935,9.828614234924316,7.130252838134766,5.467987060546875,26,32.29071807861328,2.9685620447747962,0.92918456,-113.38420867919922,-145.6749267578125,100.04033660888672,41
vintage__jup_sawpulse__150_1024.pt,3.730813980102539,4.2921464277730585,1.8585304,-7.27756404876709,-11.008378028869629,9.856983184814453,11,3.238234519958496,4.512129197887571,1.6427674,12.69743824005127,9.459203720092773,3.637479782104492,25,76.6504135131836,4.76372671627092,3.3548849,-44.62522888183594,-121.27564239501953,92.48912048339844,47
vintage__sloppy_square__256_1024.pt,0.3698883056640625,4.124606320045524,0.45154262,-8.458396911621094,-8.828285217285156,3.2043962478637695,55,0.9309415817260742,4.285739989462137,0.8656167,8.565305709838867,7.634364128112793,10.731088638305664,97,0.4486846923828125,4.453224279775499,0.052388236,-159.24119567871094,-159.68988037109375,16.559463500976562,165
basics__beating_2__111_1024.pt,3.3736257553100586,3.792185637382496,1.1736972,-10.60783863067627,-13.981464385986328,10.595808029174805,78,0.5268735885620117,2.905422307468249,0.27954656,12.670696258544922,12.14382266998291,3.3269147872924805,103,13.377883911132812,4.447067558302944,0.95381725,-68.5826416015625,-81.96052551269531,101.94974517822266,84
instrument__oboe__41_1024.pt,19.833738327026367,1.7455313266366226,3.119137,-7.731401443481445,-27.565139770507812,22.88191032409668,7,0.4842958450317383,3.691148088858482,0.32438076,7.333504676818848,6.849208831787109,1.0761995315551758,15,3.9315948486328125,1.75898644800046,0.16454405,-155.75985717773438,-159.6914520263672,4.9034423828125,22
filter__frequency_fm__148_1024.pt,1.5688557624816895,4.463860816617787,1.2380625,-7.306290149688721,-8.87514591217041,36.054813385009766,130,3.4198379516601562,4.723986455082892,1.6896026,13.06261920928955,9.642781257629395,8.394947052001953,116,80.24295806884766,4.689465110854936,3.3206403,-45.59242248535156,-125.83538055419922,349.359619140625,126
instrument__bell__94_1024.pt,12.073484420776367,4.370292979966811,2.4622977,-10.819095611572266,-22.892580032348633,22.982147216796875,30,0.638249397277832,4.504316528748603,0.45064825,11.183358192443848,10.545108795166016,1.2296218872070312,48,14.771087646484375,4.237800163147355,0.64877987,-128.5477294921875,-143.31881713867188,76.73957824707031,61
