wavetable_name,loud_mean,loud_std,loud_range,loud_entropy,loud_spectral_entropy,loud_max,loud_min,loud_total_variation,loud_turning_points,cent_mean,cent_std,cent_range,cent_entropy,cent_spectral_entropy,cent_max,cent_min,cent_total_variation,cent_turning_points,flat_mean,flat_std,flat_range,flat_entropy,flat_spectral_entropy,flat_max,flat_min,flat_total_variation,flat_turning_points,warmth_mean,warmth_std,warmth_range,warmth_entropy,warmth_spectral_entropy,warmth_max,warmth_min,warmth_total_variation,warmth_turning_points,richness_mean,richness_std,richness_range,richness_entropy,richness_spectral_entropy,richness_max,richness_min,richness_total_variation,richness_turning_points
basics__fm_harmonics__256_1024.pt,-9.495843887329102,2.5807077884674072,8.056452751159668,0.9748384952545166,0.5968372225761414,-6.867547035217285,-14.923999786376953,0.03368185833096504,0.12204724550247192,10.138856887817383,1.9368962049484253,7.2508344650268555,0.9806698560714722,0.6193318367004395,12.80433177947998,5.553497314453125,0.0752580463886261,0.586614191532135,-109.41552734375,40.3745231628418,115.29316711425781,0.9322007298469543,0.6739424467086792,-43.63523864746094,-158.92840576171875,2.9831976890563965,0.712598443031311,0.6611934900283813,0.05930473282933235,0.1805964708328247,0.9563511610031128,0.6151379942893982,0.7498443126678467,0.569247841835022,0.0011841601226478815,0.27952754497528076,64.6953125,46.01612091064453,148.0,0.9371927976608276,0.6882477402687073,155.0,7.0,1.3450980186462402,0.24803149700164795
harmonics__synced_sines__256_1024.pt,-8.36170768737793,0.7054129242897034,1.9775824546813965,0.95650714635849,0.6213358640670776,-7.547684192657471,-9.525266647338867,0.00910799391567707,0.19685038924217224,7.197495460510254,0.9614371061325073,3.327183723449707,0.9322581887245178,0.6980891227722168,9.424253463745117,6.09706974029541,0.07155227661132812,0.4645669162273407,-159.3994140625,0.2157476395368576,1.1069488525390625,0.9549899101257324,0.7800537943840027,-158.58518981933594,-159.692138671875,0.08000972867012024,0.6535432934761047,0.5195276737213135,0.03442459553480148,0.13704735040664673,0.9723188877105713,0.5752418041229248,0.5897805690765381,0.45273321866989136,0.003808345878496766,0.04724409431219101,6.25390625,1.2993152141571045,5.0,0.9838385581970215,0.643345296382904,8.0,3.0,0.11764705926179886,0.007874015718698502
complex__bitkart__149_1024.pt,-7.390117168426514,1.0411040782928467,4.918123245239258,0.9828135967254639,0.6526693105697632,-4.934290885925293,-9.85241413116455,0.4606954753398895,0.6326530575752258,11.59207534790039,1.1221944093704224,3.519084930419922,0.9688212275505066,0.5549488663673401,12.90445327758789,9.385368347167969,0.26825425028800964,0.5102040767669678,-93.86654663085938,23.64826011657715,85.38951110839844,0.9533697962760925,0.596446692943573,-46.47773742675781,-131.86724853515625,7.801337242126465,0.5850340127944946,0.5096468925476074,0.06379543244838715,0.26061511039733887,0.9746594429016113,0.690132737159729,0.63566654920578,0.37505143880844116,0.04267702251672745,0.5306122303009033,40.77852249145508,21.839662551879883,118.0,0.9470161199569702,0.7618681192398071,130.0,12.0,16.83783721923828,0.5986394286155701
collection__olive__256_1024.pt,-11.600936889648438,1.7183609008789062,9.260736465454102,0.9834710955619812,0.4828149080276489,-6.573645114898682,-15.834381103515625,0.3743198812007904,0.09842519462108612,10.898398399353027,0.40731948614120483,1.8339033126831055,0.9802452921867371,0.4782474935054779,11.863572120666504,10.029668807983398,0.026480073109269142,0.07874015718698502,-100.4947738647461,6.931230545043945,39.39812469482422,0.9912031888961792,0.4997458755970001,-83.86962127685547,-123.26774597167969,0.5997267961502075,0.11417322605848312,0.5021002888679504,0.07490517199039459,0.2903134524822235,0.959536075592041,0.5103872418403625,0.6742120981216431,0.38389864563941956,0.005656728520989418,0.11811023950576782,66.1484375,16.880706787109375,62.0,0.9576566815376282,0.600487232208252,102.0,40.0,1.7215685844421387,0.18503937125205994
formant__riser__87_1024.pt,-6.377187252044678,0.8476909399032593,3.011733055114746,0.9810501933097839,0.5651988387107849,-5.775721549987793,-8.787454605102539,0.03857503831386566,0.0117647061124444,11.234413146972656,0.1897503286600113,0.5466699600219727,0.9324776530265808,0.6369602680206299,11.521444320678711,10.974774360656738,0.007740930188447237,0.0470588244497776,-119.32386779785156,11.56277084350586,39.73213195800781,0.9427055716514587,0.7048858404159546,-96.37132263183594,-136.10345458984375,0.5381656885147095,0.30588236451148987,0.29996949434280396,0.08233727514743805,0.2999728322029114,0.9572362303733826,0.656985342502594,0.45766496658325195,0.15769213438034058,0.004410186316817999,0.0470588244497776,52.11494064331055,10.631704330444336,53.0,0.9623866677284241,0.7467486262321472,86.0,33.0,2.0116279125213623,0.1411764770746231
collection__amber__256_1024.pt,-13.31271743774414,2.0645976066589355,8.171733856201172,0.9720932245254517,0.38775280117988586,-9.24449348449707,-17.416227340698242,0.11193114519119263,0.019685039296746254,11.028116226196289,0.9938169121742249,3.9495601654052734,0.986397385597229,0.5956743359565735,12.133475303649902,8.183915138244629,0.01627880148589611,0.015748031437397003,-97.48607635498047,24.21279525756836,79.71063995361328,0.9753633737564087,0.6151365637779236,-68.4692611694336,-148.17990112304688,0.35063695907592773,0.26377952098846436,0.6329043507575989,0.1134851798415184,0.44059303402900696,0.963065505027771,0.6825177073478699,0.8826688528060913,0.44207581877708435,0.0018954650731757283,0.023622047156095505,65.26171875,42.63145446777344,131.0,0.9411475658416748,0.6100502610206604,139.0,8.0,0.8352941274642944,0.06299212574958801
retro__echoes__185_1024.pt,-11.062102317810059,1.772754192352295,6.794269561767578,0.9420575499534607,0.6819767951965332,-6.47573184967041,-13.270001411437988,0.18263186514377594,0.2950819730758667,12.274270057678223,0.2400393784046173,0.8879766464233398,0.9612408876419067,0.6804412007331848,12.771817207336426,11.883840560913086,0.03536134585738182,0.562841534614563,-89.27139282226562,15.16753101348877,58.773468017578125,0.9429191946983337,0.7630987167358398,-52.07781982421875,-110.85128784179688,2.224743127822876,0.4972677528858185,0.6866614818572998,0.23425711691379547,0.7230355739593506,0.9651914238929749,0.6467862725257874,0.9856275320053101,0.2625919580459595,0.024549541994929314,0.6120218634605408,12.037837982177734,13.149792671203613,56.0,0.8814364075660706,0.8357672095298767,57.0,1.0,2.0217392444610596,0.24590164422988892
instrument__piano__73_1024.pt,-9.727209091186523,1.0210918188095093,5.008510589599609,0.9849768877029419,0.6632798910140991,-7.790618896484375,-12.799129486083984,0.6831715703010559,0.5211267471313477,10.388689041137695,0.3856862783432007,1.5046863555908203,0.918424665927887,0.6507017016410828,11.448366165161133,9.943679809570312,0.060898199677467346,0.47887325286865234,-111.19132232666016,13.69144344329834,46.772064208984375,0.9142324924468994,0.6426935791969299,-80.42129516601562,-127.193359375,1.7953262329101562,0.3802816867828369,0.5042764544487,0.03969118371605873,0.18493330478668213,0.9754431843757629,0.6937538981437683,0.5969782471656799,0.4120449423789978,0.01901538483798504,0.5352112650871277,49.356163024902344,8.620662689208984,48.0,0.9496689438819885,0.799039900302887,85.0,37.0,2.402777671813965,0.4225352108478546
complex__octa_phase__117_1024.pt,-10.70988941192627,1.2931098937988281,5.521548271179199,0.9258968830108643,0.6520509123802185,-6.615540504455566,-12.137088775634766,0.15931418538093567,0.208695650100708,12.081392288208008,0.1348293572664261,0.5918998718261719,0.9811972379684448,0.6426980495452881,12.34280776977539,11.750907897949219,0.023287568241357803,0.530434787273407,-70.85105895996094,9.507377624511719,33.815521240234375,0.9602764844894409,0.6103898286819458,-53.114715576171875,-86.93023681640625,0.6259074211120605,0.5130434632301331,0.5241867303848267,0.062353938817977905,0.3438628315925598,0.9869764447212219,0.5739019513130188,0.6813308596611023,0.3374680280685425,0.007357712369412184,0.2347826063632965,53.735042572021484,30.757783889770508,112.0,0.929623007774353,0.6155558824539185,129.0,17.0,3.8620688915252686,0.46086955070495605
basics__sync_additive__256_1024.pt,-8.989715576171875,0.4657352566719055,2.6479578018188477,0.9904763102531433,0.7177176475524902,-7.824109077453613,-10.472066879272461,0.4318116307258606,0.712598443031311,12.87663459777832,0.07768799364566803,0.7647008895874023,0.998339831829071,0.5159921050071716,12.974267959594727,12.209567070007324,0.04707753285765648,0.5078740119934082,-42.25988006591797,2.442934036254883,14.507217407226562,0.9936904907226562,0.6270772218704224,-37.9410514831543,-52.44826889038086,1.7875107526779175,0.5157480239868164,0.27235591411590576,0.03762925788760185,0.24866515398025513,0.9916059374809265,0.7295082807540894,0.38473477959632874,0.1360696256160736,0.03179407864809036,0.539370059967041,171.71875,17.098073959350586,108.0,0.9884157776832581,0.7738585472106934,229.0,121.0,15.53725528717041,0.6181102395057678
formant__tuvan__128_1024.pt,-10.182984352111816,1.0215373039245605,3.9209136962890625,0.9510239362716675,0.5081878304481506,-7.867064476013184,-11.787978172302246,0.11149385571479797,0.0793650820851326,9.764178276062012,0.21035073697566986,0.7189779281616211,0.9086293578147888,0.7278348207473755,10.263323783874512,9.54434585571289,0.009379447437822819,0.4047619104385376,-142.8663787841797,2.566938877105713,11.192428588867188,0.9639331698417664,0.6982009410858154,-135.8547821044922,-147.04721069335938,0.852667510509491,0.6904761791229248,0.3945314884185791,0.025905665010213852,0.11335015296936035,0.9581441283226013,0.5015674829483032,0.46629026532173157,0.3529401123523712,0.0027726239059120417,0.1269841343164444,31.0703125,3.1226468086242676,12.0,0.974419891834259,0.6032173037528992,36.0,24.0,0.5433070659637451,0.0317460335791111
noise__crash__254_1024.pt,-9.426630020141602,0.959854781627655,5.2096967697143555,0.9894992113113403,0.7970253825187683,-7.2154083251953125,-12.425105094909668,1.0320098400115967,0.6230158805847168,10.90322494506836,0.20104070007801056,1.2318429946899414,0.9796182513237,0.7613937854766846,11.706477165222168,10.474634170532227,0.11457940936088562,0.658730149269104,-101.93973541259766,4.269720077514648,36.70782470703125,0.979048490524292,0.8223891258239746,-73.59009552001953,-110.29792022705078,2.478386878967285,0.6230158805847168,0.4873510003089905,0.03981020674109459,0.2546255886554718,0.9926421642303467,0.7755350470542908,0.5971348881721497,0.34250929951667786,0.04252871870994568,0.670634925365448,65.42913055419922,12.215816497802734,101.0,0.9586552977561951,0.8410041332244873,149.0,48.0,6.2569169998168945,0.6269841194152832
instrument__strings_1__256_1024.pt,-12.984272003173828,2.491629123687744,21.751461029052734,0.9979560971260071,0.516737699508667,-9.589573860168457,-31.341035842895508,0.20387235283851624,0.12204724550247192,9.154431343078613,0.17944693565368652,0.7896871566772461,0.983713686466217,0.6744673848152161,9.501608848571777,8.711921691894531,0.05643569678068161,0.5196850299835205,-136.07955932617188,5.529045104980469,41.7674560546875,0.9651618003845215,0.753211259841919,-103.4180908203125,-145.185546875,0.9323192834854126,0.6141732335090637,0.5023343563079834,0.046311184763908386,0.20782575011253357,0.9844090938568115,0.6720119118690491,0.5965989828109741,0.38877323269844055,0.0075712488032877445,0.26377952098846436,23.90234375,2.4258077144622803,13.0,0.9828574657440186,0.7889999151229858,31.0,18.0,1.545098066329956,0.3937007784843445
basics__beating_4__111_1024.pt,-11.104442596435547,0.5940454006195068,3.223398208618164,0.9928829669952393,0.5102144479751587,-10.416158676147461,-13.639556884765625,0.12139668315649033,0.6605504751205444,12.632396697998047,0.08096066117286682,0.7544498443603516,0.9974163174629211,0.498304158449173,12.721199989318848,11.966750144958496,0.03499685600399971,0.6605504751205444,-73.920654296875,1.9700126647949219,10.721527099609375,0.990042507648468,0.5647335052490234,-70.22813415527344,-80.94966125488281,0.860586941242218,0.6605504751205444,0.5335575342178345,0.02240283600986004,0.1799108386039734,0.9961583018302917,0.47379302978515625,0.5722430348396301,0.39233219623565674,0.005215361248701811,0.38532111048698425,267.6036071777344,24.2911434173584,87.0,0.9782755970954895,0.5106860399246216,297.0,210.0,5.072727203369141,0.5504587292671204
distortion__clipped_sweep__64_1024.pt,-5.028525352478027,1.328804612159729,4.494907379150391,0.9587043523788452,0.6675291061401367,-3.029067039489746,-7.523974418640137,0.7342950701713562,0.4354838728904724,12.922369003295898,0.45522695779800415,2.8467206954956055,0.9933676719665527,0.5357911586761475,13.449569702148438,10.602849006652832,0.21204517781734467,0.4838709533214569,-38.84600067138672,11.899653434753418,55.821285247802734,0.9830244183540344,0.6021108627319336,-18.683338165283203,-74.50462341308594,4.024471759796143,0.4838709533214569,0.5537703633308411,0.06445959210395813,0.4226396977901459,0.9591562151908875,0.8247643113136292,0.8716333508491516,0.44899365305900574,0.05322612076997757,0.6451612710952759,215.203125,108.76699829101562,410.0,0.9552134275436401,0.7414949536323547,447.0,37.0,49.55555725097656,0.4838709533214569
vintage__minifilter__6_1024.pt,-12.711551666259766,1.2952030897140503,3.5607051849365234,0.7455573678016663,0.8360463380813599,-10.491188049316406,-14.05189323425293,1.596701979637146,0.75,8.784740447998047,0.6817057728767395,1.849440574645996,0.8557818531990051,0.825353741645813,9.632938385009766,7.7834978103637695,0.8898689150810242,0.5,-129.59979248046875,26.586816787719727,63.180389404296875,0.7289205193519592,0.8870521187782288,-92.459228515625,-155.63961791992188,34.31188201904297,1.0,0.6091657876968384,0.11152371019124985,0.2687356472015381,0.7118209600448608,0.9182829856872559,0.7754762768745422,0.5067406296730042,0.16204915940761566,1.0,25.66666603088379,5.537749290466309,16.0,0.8155996799468994,0.882320761680603,35.0,19.0,7.0,0.75
harmonics__spectral_1__24_1024.pt,-11.299235343933105,2.543320655822754,8.95466423034668,0.86357182264328,0.8278898000717163,-4.927347183227539,-13.882011413574219,0.4006747305393219,0.1818181872367859,10.390336036682129,0.41498810052871704,1.1540489196777344,0.9054405093193054,0.6772579550743103,10.97105598449707,9.817007064819336,0.05814071372151375,0.22727273404598236,-156.07681274414062,1.5254915952682495,5.82452392578125,0.9527735710144043,0.7212204933166504,-153.18548583984375,-159.010009765625,0.42202228307724,0.3636363744735718,0.515492856502533,0.09132721275091171,0.3256503939628601,0.9584578275680542,0.5535047054290771,0.6294444799423218,0.30379408597946167,0.04296204447746277,0.40909090638160706,22.83333396911621,7.816741466522217,27.0,0.9534575343132019,0.6909192800521851,34.0,7.0,1.1739130020141602,0.0
complex__transformations__256_1024.pt,-11.447957992553711,1.516228199005127,6.251987934112549,0.9635938405990601,0.4675504267215729,-7.68720006942749,-13.939188003540039,0.1691417247056961,0.05905511975288391,10.201408386230469,1.7511385679244995,5.2562103271484375,0.9628873467445374,0.6150508522987366,12.30184555053711,7.045635223388672,0.022500034421682358,0.07480315119028091,-107.80378723144531,34.0584831237793,100.17396545410156,0.9477814435958862,0.6391147971153259,-56.59992599487305,-156.77389526367188,0.4794516861438751,0.18503937125205994,0.4305962920188904,0.024938680231571198,0.10536593198776245,0.9831865429878235,0.4471181333065033,0.4712454676628113,0.36587953567504883,0.0019595040939748287,0.07874015718698502,83.98828125,59.123897552490234,184.0,0.9378336071968079,0.5545591711997986,192.0,8.0,1.384313702583313,0.09055118262767792
basics__fm_fold__78_1024.pt,-11.058767318725586,0.5921550989151001,2.0245609283447266,0.9543559551239014,0.6594276428222656,-9.98868465423584,-12.013245582580566,0.08981921523809433,0.17105263471603394,9.547218322753906,1.0779765844345093,4.092243194580078,0.9766470193862915,0.635791003704071,11.024044036865234,6.931800842285156,0.05314601585268974,0.0,-150.21144104003906,9.814275741577148,33.587249755859375,0.8721661567687988,0.7703171372413635,-125.86701965332031,-159.4542694091797,0.46231159567832947,0.28947368264198303,0.5475367307662964,0.06652963161468506,0.354491651058197,0.9750286936759949,0.6388322114944458,0.7506531476974487,0.3961614966392517,0.011369858868420124,0.44736841320991516,37.25640869140625,16.248424530029297,50.0,0.9506203532218933,0.6630224585533142,61.0,11.0,1.1688311100006104,0.19736842811107635
